Time [h]	T [C]
6.75	-17.33
6.80	-17.27
6.85	-17.20
6.90	-17.14
6.95	-17.07
7.00	-17.00
7.05	-16.93
7.10	-16.86
7.15	-16.79
7.20	-16.72
7.25	-16.65
7.30	-16.58
7.35	-16.51
7.40	-16.44
7.45	-16.37
7.50	-16.30
7.55	-16.22
7.60	-16.15
7.65	-16.08
7.70	-16.00
7.75	-15.93
7.80	-15.85
7.85	-15.78
7.90	-15.70
7.95	-15.63
8.00	-15.55
8.05	-15.48
8.10	-15.40
8.15	-15.32
8.20	-15.25
8.25	-15.17
8.30	-15.09
8.35	-15.02
8.40	-14.94
8.45	-14.86
8.50	-14.78
8.55	-14.71
8.60	-14.63
8.65	-14.55
8.70	-14.47
8.75	-14.39
8.80	-14.31
8.85	-14.24
8.90	-14.16
8.95	-14.08
9.00	-14.00
9.05	-13.92
9.10	-13.84
9.15	-13.76
9.20	-13.69
9.25	-13.61
9.30	-13.53
9.35	-13.45
9.40	-13.37
9.45	-13.30
9.50	-13.22
9.55	-13.14
9.60	-13.06
9.65	-12.98
9.70	-12.91
9.75	-12.83
9.80	-12.75
9.85	-12.68
9.90	-12.60
9.95	-12.52
10.00	-12.45
10.05	-12.37
10.10	-12.30
10.15	-12.22
10.20	-12.15
10.25	-12.07
10.30	-12.00
10.35	-11.92
10.40	-11.85
10.45	-11.78
10.50	-11.70
10.55	-11.63
10.60	-11.56
10.65	-11.49
10.70	-11.42
10.75	-11.35
10.80	-11.28
10.85	-11.21
10.90	-11.14
10.95	-11.07
11.00	-11.00
11.05	-10.93
11.10	-10.87
11.15	-10.80
11.20	-10.73
11.25	-10.67
11.30	-10.60
11.35	-10.54
11.40	-10.47
11.45	-10.41
11.50	-10.35
11.55	-10.29
11.60	-10.22
11.65	-10.16
11.70	-10.10
11.75	-10.04
11.80	-9.99
11.85	-9.93
11.90	-9.87
11.95	-9.81
12.00	-9.76
12.05	-9.70
12.10	-9.65
12.15	-9.59
12.20	-9.54
12.25	-9.49
12.30	-9.44
12.35	-9.39
12.40	-9.34
12.45	-9.29
12.50	-9.24
12.55	-9.19
12.60	-9.15
12.65	-9.10
12.70	-9.06
12.75	-9.01
12.80	-8.97
12.85	-8.93
12.90	-8.88
12.95	-8.84
13.00	-8.80
13.05	-8.77
13.10	-8.73
13.15	-8.69
13.20	-8.65
13.25	-8.62
13.30	-8.58
13.35	-8.55
13.40	-8.52
13.45	-8.49
13.50	-8.46
13.55	-8.43
13.60	-8.40
13.65	-8.37
13.70	-8.34
13.75	-8.32
13.80	-8.29
13.85	-8.27
13.90	-8.25
13.95	-8.23
14.00	-8.20
14.05	-8.18
14.10	-8.17
14.15	-8.15
14.20	-8.13
14.25	-8.12
14.30	-8.10
14.35	-8.09
14.40	-8.07
14.45	-8.06
14.50	-8.05
14.55	-8.04
14.60	-8.03
14.65	-8.03
14.70	-8.02
14.75	-8.01
14.80	-8.01
14.85	-8.00
14.90	-8.00
14.95	-8.00
15.00	-8.00
15.05	-8.00
15.10	-8.00
15.15	-8.00
15.20	-8.01
15.25	-8.01
15.30	-8.02
15.35	-8.03
15.40	-8.03
15.45	-8.04
15.50	-8.05
15.55	-8.06
15.60	-8.07
15.65	-8.09
15.70	-8.10
15.75	-8.12
15.80	-8.13
15.85	-8.15
15.90	-8.17
15.95	-8.18
16.00	-8.20
16.05	-8.23
16.10	-8.25
16.15	-8.27
16.20	-8.29
16.25	-8.32
16.30	-8.34
16.35	-8.37
16.40	-8.40
16.45	-8.43
16.50	-8.46
16.55	-8.49
16.60	-8.52
16.65	-8.55
16.70	-8.58
16.75	-8.62
16.80	-8.65
16.85	-8.69
16.90	-8.73
16.95	-8.76
17.00	-8.80
17.05	-8.84
17.10	-8.88
17.15	-8.93
17.20	-8.97
17.25	-9.01
17.30	-9.06
17.35	-9.10
17.40	-9.15
17.45	-9.19
17.50	-9.24
17.55	-9.29
17.60	-9.34
17.65	-9.39
17.70	-9.44
17.75	-9.49
17.80	-9.54
17.85	-9.59
17.90	-9.65
17.95	-9.70
18.00	-9.76
18.05	-9.81
18.10	-9.87
18.15	-9.93
18.20	-9.98
18.25	-10.04
18.30	-10.10
18.35	-10.16
18.40	-10.22
18.45	-10.29
18.50	-10.35
18.55	-10.41
18.60	-10.47
18.65	-10.54
18.70	-10.60
18.75	-10.67
18.80	-10.73
18.85	-10.80
18.90	-10.86
18.95	-10.93
19.00	-11.00
19.05	-11.07
19.10	-11.14
19.15	-11.21
19.20	-11.28
19.25	-11.35
19.30	-11.42
19.35	-11.49
19.40	-11.56
19.45	-11.63
19.50	-11.70
19.55	-11.78
19.60	-11.85
19.65	-11.92
19.70	-12.00
19.75	-12.07
19.80	-12.15
19.85	-12.22
19.90	-12.30
19.95	-12.37
20.00	-12.45
20.05	-12.52
20.10	-12.60
20.15	-12.68
20.20	-12.75
20.25	-12.83
20.30	-12.91
20.35	-12.98
20.40	-13.06
20.45	-13.14
20.50	-13.22
20.55	-13.29
20.60	-13.37
20.65	-13.45
20.70	-13.53
20.75	-13.61
20.80	-13.69
20.85	-13.76
20.90	-13.84
20.95	-13.92
21.00	-14.00
21.05	-14.08
21.10	-14.16
21.15	-14.24
21.20	-14.31
21.25	-14.39
21.30	-14.47
21.35	-14.55
21.40	-14.63
21.45	-14.70
21.50	-14.78
21.55	-14.86
21.60	-14.94
21.65	-15.02
21.70	-15.09
21.75	-15.17
21.80	-15.25
21.85	-15.32
21.90	-15.40
21.95	-15.48
22.00	-15.55
22.05	-15.63
22.10	-15.70
22.15	-15.78
22.20	-15.85
22.25	-15.93
22.30	-16.00
22.35	-16.08
22.40	-16.15
22.45	-16.22
22.50	-16.30
22.55	-16.37
22.60	-16.44
22.65	-16.51
22.70	-16.58
22.75	-16.65
22.80	-16.72
22.85	-16.79
22.90	-16.86
22.95	-16.93
23.00	-17.00
23.05	-17.07
23.10	-17.13
23.15	-17.20
23.20	-17.27
23.25	-17.33
23.30	-17.40
23.35	-17.46
23.40	-17.53
23.45	-17.59
23.50	-17.65
23.55	-17.71
23.60	-17.78
23.65	-17.84
23.70	-17.90
23.75	-17.96
23.80	-18.01
23.85	-18.07
23.90	-18.13
23.95	-18.19
24.00	-18.24
24.05	-18.30
24.10	-18.35
24.15	-18.41
24.20	-18.46
24.25	-18.51
24.30	-18.56
24.35	-18.61
24.40	-18.66
24.45	-18.71
24.50	-18.76
24.55	-18.81
24.60	-18.85
24.65	-18.90
24.70	-18.94
24.75	-18.99
24.80	-19.03
24.85	-19.07
24.90	-19.12
24.95	-19.16
25.00	-19.20
25.05	-19.23
25.10	-19.27
25.15	-19.31
25.20	-19.35
25.25	-19.38
25.30	-19.42
25.35	-19.45
25.40	-19.48
25.45	-19.51
25.50	-19.54
25.55	-19.57
25.60	-19.60
25.65	-19.63
25.70	-19.66
25.75	-19.68
25.80	-19.71
25.85	-19.73
25.90	-19.75
25.95	-19.77
26.00	-19.80
26.05	-19.82
26.10	-19.83
26.15	-19.85
26.20	-19.87
26.25	-19.88
26.30	-19.90
26.35	-19.91
26.40	-19.93
26.45	-19.94
26.50	-19.95
26.55	-19.96
26.60	-19.97
26.65	-19.97
26.70	-19.98
26.75	-19.99
26.80	-19.99
26.85	-20.00
26.90	-20.00
26.95	-20.00
27.00	-20.00
27.05	-20.00
27.10	-20.00
27.15	-20.00
27.20	-19.99
27.25	-19.99
27.30	-19.98
27.35	-19.97
27.40	-19.97
27.45	-19.96
27.50	-19.95
27.55	-19.94
27.60	-19.93
27.65	-19.91
27.70	-19.90
27.75	-19.88
27.80	-19.87
27.85	-19.85
27.90	-19.83
27.95	-19.82
28.00	-19.80
28.05	-19.77
28.10	-19.75
28.15	-19.73
28.20	-19.71
28.25	-19.68
28.30	-19.66
28.35	-19.63
28.40	-19.60
28.45	-19.57
28.50	-19.54
28.55	-19.51
28.60	-19.48
28.65	-19.45
28.70	-19.42
28.75	-19.38
28.80	-19.35
28.85	-19.31
28.90	-19.27
28.95	-19.24
29.00	-19.20
29.05	-19.16
29.10	-19.12
29.15	-19.07
29.20	-19.03
29.25	-18.99
29.30	-18.95
29.35	-18.90
29.40	-18.85
29.45	-18.81
29.50	-18.76
29.55	-18.71
29.60	-18.66
29.65	-18.61
29.70	-18.56
29.75	-18.51
29.80	-18.46
29.85	-18.41
29.90	-18.35
29.95	-18.30
30.00	-18.24
30.05	-18.19
30.10	-18.13
30.15	-18.07
30.20	-18.02
30.25	-17.96
30.30	-17.90
30.35	-17.84
30.40	-17.78
30.45	-17.71
30.50	-17.65
30.55	-17.59
30.60	-17.53
30.65	-17.46
30.70	-17.40
30.75	-17.33
30.80	-17.27
30.85	-17.20
30.90	-17.14
30.95	-17.07
31.00	-17.00
31.05	-16.93
31.10	-16.86
31.15	-16.79
31.20	-16.72
31.25	-16.65
31.30	-16.58
31.35	-16.51
31.40	-16.44
31.45	-16.37
31.50	-16.30
31.55	-16.22
31.60	-16.15
31.65	-16.08
31.70	-16.00
31.75	-15.93
31.80	-15.85
31.85	-15.78
31.90	-15.70
31.95	-15.63
32.00	-15.55
32.05	-15.48
32.10	-15.40
32.15	-15.32
32.20	-15.25
32.25	-15.17
32.30	-15.09
32.35	-15.02
32.40	-14.94
32.45	-14.86
32.50	-14.78
32.55	-14.71
32.60	-14.63
32.65	-14.55
32.70	-14.47
32.75	-14.39
32.80	-14.31
32.85	-14.24
32.90	-14.16
32.95	-14.08
33.00	-14.00
33.05	-13.92
33.10	-13.84
33.15	-13.76
33.20	-13.69
33.25	-13.61
33.30	-13.53
33.35	-13.45
33.40	-13.37
33.45	-13.30
33.50	-13.22
33.55	-13.14
33.60	-13.06
33.65	-12.98
33.70	-12.91
33.75	-12.83
33.80	-12.75
33.85	-12.68
33.90	-12.60
33.95	-12.52
34.00	-12.45
34.05	-12.37
34.10	-12.30
34.15	-12.22
34.20	-12.15
34.25	-12.07
34.30	-12.00
34.35	-11.92
34.40	-11.85
34.45	-11.78
34.50	-11.70
34.55	-11.63
34.60	-11.56
34.65	-11.49
34.70	-11.42
34.75	-11.35
34.80	-11.28
34.85	-11.21
34.90	-11.14
34.95	-11.07
35.00	-11.00
35.05	-10.93
35.10	-10.87
35.15	-10.80
35.20	-10.73
35.25	-10.67
35.30	-10.60
35.35	-10.54
35.40	-10.47
35.45	-10.41
35.50	-10.35
35.55	-10.29
35.60	-10.22
35.65	-10.16
35.70	-10.10
35.75	-10.04
35.80	-9.99
35.85	-9.93
35.90	-9.87
35.95	-9.81
36.00	-9.76
36.05	-9.70
36.10	-9.65
36.15	-9.59
36.20	-9.54
36.25	-9.49
36.30	-9.44
36.35	-9.39
36.40	-9.34
36.45	-9.29
36.50	-9.24
36.55	-9.19
36.60	-9.15
36.65	-9.10
36.70	-9.06
36.75	-9.01
36.80	-8.97
36.85	-8.93
36.90	-8.88
36.95	-8.84
37.00	-8.80
37.05	-8.77
37.10	-8.73
37.15	-8.69
37.20	-8.65
37.25	-8.62
37.30	-8.58
37.35	-8.55
37.40	-8.52
37.45	-8.49
37.50	-8.46
37.55	-8.43
37.60	-8.40
37.65	-8.37
37.70	-8.34
37.75	-8.32
37.80	-8.29
37.85	-8.27
37.90	-8.25
37.95	-8.23
38.00	-8.20
38.05	-8.18
38.10	-8.17
38.15	-8.15
38.20	-8.13
38.25	-8.12
38.30	-8.10
38.35	-8.09
38.40	-8.07
38.45	-8.06
38.50	-8.05
38.55	-8.04
38.60	-8.03
38.65	-8.03
38.70	-8.02
38.75	-8.01
38.80	-8.01
38.85	-8.00
38.90	-8.00
38.95	-8.00
39.00	-8.00
39.05	-8.00
39.10	-8.00
39.15	-8.00
39.20	-8.01
39.25	-8.01
39.30	-8.02
39.35	-8.03
39.40	-8.03
39.45	-8.04
39.50	-8.05
39.55	-8.06
39.60	-8.07
39.65	-8.09
39.70	-8.10
39.75	-8.12
39.80	-8.13
39.85	-8.15
39.90	-8.17
39.95	-8.18
40.00	-8.20
40.05	-8.23
40.10	-8.25
40.15	-8.27
40.20	-8.29
40.25	-8.32
40.30	-8.34
40.35	-8.37
40.40	-8.40
40.45	-8.43
40.50	-8.46
40.55	-8.49
40.60	-8.52
40.65	-8.55
40.70	-8.58
40.75	-8.62
40.80	-8.65
40.85	-8.69
40.90	-8.73
40.95	-8.76
41.00	-8.80
41.05	-8.84
41.10	-8.88
41.15	-8.93
41.20	-8.97
41.25	-9.01
41.30	-9.05
41.35	-9.10
41.40	-9.15
41.45	-9.19
41.50	-9.24
41.55	-9.29
41.60	-9.34
41.65	-9.39
41.70	-9.44
41.75	-9.49
41.80	-9.54
41.85	-9.59
41.90	-9.65
41.95	-9.70
42.00	-9.76
42.05	-9.81
42.10	-9.87
42.15	-9.93
42.20	-9.98
42.25	-10.04
42.30	-10.10
42.35	-10.16
42.40	-10.22
42.45	-10.28
42.50	-10.35
42.55	-10.41
42.60	-10.47
42.65	-10.54
42.70	-10.60
42.75	-10.67
42.80	-10.73
42.85	-10.80
42.90	-10.86
42.95	-10.93
43.00	-11.00
43.05	-11.07
43.10	-11.14
43.15	-11.21
43.20	-11.28
43.25	-11.35
43.30	-11.42
43.35	-11.49
43.40	-11.56
43.45	-11.63
43.50	-11.70
43.55	-11.78
43.60	-11.85
43.65	-11.92
43.70	-12.00
43.75	-12.07
43.80	-12.15
43.85	-12.22
43.90	-12.30
43.95	-12.37
44.00	-12.45
44.05	-12.52
44.10	-12.60
44.15	-12.68
44.20	-12.75
44.25	-12.83
44.30	-12.91
44.35	-12.98
44.40	-13.06
44.45	-13.14
44.50	-13.22
44.55	-13.29
44.60	-13.37
44.65	-13.45
44.70	-13.53
44.75	-13.61
44.80	-13.69
44.85	-13.76
44.90	-13.84
44.95	-13.92
45.00	-14.00
45.05	-14.08
45.10	-14.16
45.15	-14.23
45.20	-14.31
45.25	-14.39
45.30	-14.47
45.35	-14.55
45.40	-14.63
45.45	-14.70
45.50	-14.78
45.55	-14.86
45.60	-14.94
45.65	-15.02
45.70	-15.09
45.75	-15.17
45.80	-15.25
45.85	-15.32
45.90	-15.40
45.95	-15.48
46.00	-15.55
46.05	-15.63
46.10	-15.70
46.15	-15.78
46.20	-15.85
46.25	-15.93
46.30	-16.00
46.35	-16.08
46.40	-16.15
46.45	-16.22
46.50	-16.30
46.55	-16.37
46.60	-16.44
46.65	-16.51
46.70	-16.58
46.75	-16.65
46.80	-16.72
46.85	-16.79
46.90	-16.86
46.95	-16.93
47.00	-17.00
47.05	-17.07
47.10	-17.13
47.15	-17.20
47.20	-17.27
47.25	-17.33
47.30	-17.40
47.35	-17.46
47.40	-17.53
47.45	-17.59
47.50	-17.65
47.55	-17.71
47.60	-17.78
47.65	-17.84
47.70	-17.90
47.75	-17.96
47.80	-18.01
47.85	-18.07
47.90	-18.13
47.95	-18.19
48.00	-18.24
48.05	-18.30
48.10	-18.35
48.15	-18.41
48.20	-18.46
48.25	-18.51
48.30	-18.56
48.35	-18.61
48.40	-18.66
48.45	-18.71
48.50	-18.76
48.55	-18.81
48.60	-18.85
48.65	-18.90
48.70	-18.94
48.75	-18.99
48.80	-19.03
48.85	-19.07
48.90	-19.12
48.95	-19.16
49.00	-19.20
49.05	-19.23
49.10	-19.27
49.15	-19.31
49.20	-19.35
49.25	-19.38
49.30	-19.42
49.35	-19.45
49.40	-19.48
49.45	-19.51
49.50	-19.54
49.55	-19.57
49.60	-19.60
49.65	-19.63
49.70	-19.66
49.75	-19.68
49.80	-19.71
49.85	-19.73
49.90	-19.75
49.95	-19.77
50.00	-19.80
50.05	-19.82
50.10	-19.83
50.15	-19.85
50.20	-19.87
50.25	-19.88
50.30	-19.90
50.35	-19.91
50.40	-19.93
50.45	-19.94
50.50	-19.95
50.55	-19.96
50.60	-19.97
50.65	-19.97
50.70	-19.98
50.75	-19.99
50.80	-19.99
50.85	-20.00
50.90	-20.00
50.95	-20.00
51.00	-20.00
51.05	-20.00
51.10	-20.00
51.15	-20.00
51.20	-19.99
51.25	-19.99
51.30	-19.98
51.35	-19.97
51.40	-19.97
51.45	-19.96
51.50	-19.95
51.55	-19.94
51.60	-19.93
51.65	-19.91
51.70	-19.90
51.75	-19.88
51.80	-19.87
51.85	-19.85
51.90	-19.83
51.95	-19.82
52.00	-19.80
52.05	-19.77
52.10	-19.75
52.15	-19.73
52.20	-19.71
52.25	-19.68
52.30	-19.66
52.35	-19.63
52.40	-19.60
52.45	-19.57
52.50	-19.54
52.55	-19.51
52.60	-19.48
52.65	-19.45
52.70	-19.42
52.75	-19.38
52.80	-19.35
52.85	-19.31
52.90	-19.27
52.95	-19.24
53.00	-19.20
53.05	-19.16
53.10	-19.12
53.15	-19.07
53.20	-19.03
53.25	-18.99
53.30	-18.95
53.35	-18.90
53.40	-18.85
53.45	-18.81
53.50	-18.76
53.55	-18.71
53.60	-18.66
53.65	-18.61
53.70	-18.56
53.75	-18.51
53.80	-18.46
53.85	-18.41
53.90	-18.35
53.95	-18.30
54.00	-18.24
54.05	-18.19
54.10	-18.13
54.15	-18.07
54.20	-18.02
54.25	-17.96
54.30	-17.90
54.35	-17.84
54.40	-17.78
54.45	-17.72
54.50	-17.65
54.55	-17.59
54.60	-17.53
54.65	-17.46
54.70	-17.40
54.75	-17.33
54.80	-17.27
54.85	-17.20
54.90	-17.14
54.95	-17.07
55.00	-17.00
55.05	-16.93
55.10	-16.86
55.15	-16.79
55.20	-16.72
55.25	-16.65
55.30	-16.58
55.35	-16.51
55.40	-16.44
55.45	-16.37
55.50	-16.30
55.55	-16.22
55.60	-16.15
55.65	-16.08
55.70	-16.00
55.75	-15.93
55.80	-15.85
55.85	-15.78
55.90	-15.70
55.95	-15.63
56.00	-15.55
56.05	-15.48
56.10	-15.40
56.15	-15.32
56.20	-15.25
56.25	-15.17
56.30	-15.09
56.35	-15.02
56.40	-14.94
56.45	-14.86
56.50	-14.78
56.55	-14.71
56.60	-14.63
56.65	-14.55
56.70	-14.47
56.75	-14.39
56.80	-14.31
56.85	-14.24
56.90	-14.16
56.95	-14.08
57.00	-14.00
57.05	-13.92
57.10	-13.84
57.15	-13.77
57.20	-13.69
57.25	-13.61
57.30	-13.53
57.35	-13.45
57.40	-13.37
57.45	-13.30
57.50	-13.22
57.55	-13.14
57.60	-13.06
57.65	-12.98
57.70	-12.91
57.75	-12.83
57.80	-12.75
57.85	-12.68
57.90	-12.60
57.95	-12.52
58.00	-12.45
58.05	-12.37
58.10	-12.30
58.15	-12.22
58.20	-12.15
58.25	-12.07
58.30	-12.00
58.35	-11.92
58.40	-11.85
58.45	-11.78
58.50	-11.70
58.55	-11.63
58.60	-11.56
58.65	-11.49
58.70	-11.42
58.75	-11.35
58.80	-11.28
58.85	-11.21
58.90	-11.14
58.95	-11.07
59.00	-11.00
59.05	-10.93
59.10	-10.87
59.15	-10.80
59.20	-10.73
59.25	-10.67
59.30	-10.60
59.35	-10.54
59.40	-10.47
59.45	-10.41
59.50	-10.35
59.55	-10.29
59.60	-10.22
59.65	-10.16
59.70	-10.10
59.75	-10.04
59.80	-9.99
59.85	-9.93
59.90	-9.87
59.95	-9.81
60.00	-9.76
60.05	-9.70
60.10	-9.65
60.15	-9.59
60.20	-9.54
60.25	-9.49
60.30	-9.44
60.35	-9.39
60.40	-9.34
60.45	-9.29
60.50	-9.24
60.55	-9.19
60.60	-9.15
60.65	-9.10
60.70	-9.06
60.75	-9.01
60.80	-8.97
60.85	-8.93
60.90	-8.88
60.95	-8.84
61.00	-8.80
61.05	-8.77
61.10	-8.73
61.15	-8.69
61.20	-8.65
61.25	-8.62
61.30	-8.58
61.35	-8.55
61.40	-8.52
61.45	-8.49
61.50	-8.46
61.55	-8.43
61.60	-8.40
61.65	-8.37
61.70	-8.34
61.75	-8.32
61.80	-8.29
61.85	-8.27
61.90	-8.25
61.95	-8.23
62.00	-8.20
62.05	-8.18
62.10	-8.17
62.15	-8.15
62.20	-8.13
62.25	-8.12
62.30	-8.10
62.35	-8.09
62.40	-8.07
62.45	-8.06
62.50	-8.05
62.55	-8.04
62.60	-8.03
62.65	-8.03
62.70	-8.02
62.75	-8.01
62.80	-8.01
62.85	-8.00
62.90	-8.00
62.95	-8.00
63.00	-8.00
63.05	-8.00
63.10	-8.00
63.15	-8.00
63.20	-8.01
63.25	-8.01
63.30	-8.02
63.35	-8.03
63.40	-8.03
63.45	-8.04
63.50	-8.05
63.55	-8.06
63.60	-8.07
63.65	-8.09
63.70	-8.10
63.75	-8.12
63.80	-8.13
63.85	-8.15
63.90	-8.17
63.95	-8.18
64.00	-8.20
64.05	-8.23
64.10	-8.25
64.15	-8.27
64.20	-8.29
64.25	-8.32
64.30	-8.34
64.35	-8.37
64.40	-8.40
64.45	-8.43
64.50	-8.46
64.55	-8.49
64.60	-8.52
64.65	-8.55
64.70	-8.58
64.75	-8.62
64.80	-8.65
64.85	-8.69
64.90	-8.73
64.95	-8.76
65.00	-8.80
65.05	-8.84
65.10	-8.88
65.15	-8.93
65.20	-8.97
65.25	-9.01
65.30	-9.05
65.35	-9.10
65.40	-9.15
65.45	-9.19
65.50	-9.24
65.55	-9.29
65.60	-9.34
65.65	-9.39
65.70	-9.44
65.75	-9.49
65.80	-9.54
65.85	-9.59
65.90	-9.65
65.95	-9.70
66.00	-9.76
66.05	-9.81
66.10	-9.87
66.15	-9.93
66.20	-9.98
66.25	-10.04
66.30	-10.10
66.35	-10.16
66.40	-10.22
66.45	-10.28
66.50	-10.35
66.55	-10.41
66.60	-10.47
66.65	-10.54
66.70	-10.60
66.75	-10.67
66.80	-10.73
66.85	-10.80
66.90	-10.86
66.95	-10.93
67.00	-11.00
67.05	-11.07
67.10	-11.14
67.15	-11.21
67.20	-11.28
67.25	-11.35
67.30	-11.42
67.35	-11.49
67.40	-11.56
67.45	-11.63
67.50	-11.70
67.55	-11.78
67.60	-11.85
67.65	-11.92
67.70	-12.00
67.75	-12.07
67.80	-12.15
67.85	-12.22
67.90	-12.30
67.95	-12.37
68.00	-12.45
68.05	-12.52
68.10	-12.60
68.15	-12.67
68.20	-12.75
68.25	-12.83
68.30	-12.91
68.35	-12.98
68.40	-13.06
68.45	-13.14
68.50	-13.22
68.55	-13.29
68.60	-13.37
68.65	-13.45
68.70	-13.53
68.75	-13.61
68.80	-13.69
68.85	-13.76
68.90	-13.84
68.95	-13.92
69.00	-14.00
69.05	-14.08
69.10	-14.16
69.15	-14.23
69.20	-14.31
69.25	-14.39
69.30	-14.47
69.35	-14.55
69.40	-14.63
69.45	-14.70
69.50	-14.78
69.55	-14.86
69.60	-14.94
69.65	-15.02
69.70	-15.09
69.75	-15.17
69.80	-15.25
69.85	-15.32
69.90	-15.40
69.95	-15.48
70.00	-15.55
70.05	-15.63
70.10	-15.70
70.15	-15.78
70.20	-15.85
70.25	-15.93
70.30	-16.00
70.35	-16.08
70.40	-16.15
70.45	-16.22
70.50	-16.30
70.55	-16.37
70.60	-16.44
70.65	-16.51
70.70	-16.58
70.75	-16.65
70.80	-16.72
70.85	-16.79
70.90	-16.86
70.95	-16.93
71.00	-17.00
71.05	-17.07
71.10	-17.13
71.15	-17.20
71.20	-17.27
71.25	-17.33
71.30	-17.40
71.35	-17.46
71.40	-17.53
71.45	-17.59
71.50	-17.65
71.55	-17.71
71.60	-17.78
71.65	-17.84
71.70	-17.90
71.75	-17.96
71.80	-18.01
71.85	-18.07
71.90	-18.13
71.95	-18.19
72.00	-18.24
72.05	-18.30
72.10	-18.35
72.15	-18.41
72.20	-18.46
72.25	-18.51
72.30	-18.56
72.35	-18.61
72.40	-18.66
72.45	-18.71
72.50	-18.76
72.55	-18.81
72.60	-18.85
72.65	-18.90
72.70	-18.94
72.75	-18.99
72.80	-19.03
72.85	-19.07
72.90	-19.12
72.95	-19.16
73.00	-19.20
73.05	-19.23
73.10	-19.27
73.15	-19.31
73.20	-19.35
73.25	-19.38
73.30	-19.42
73.35	-19.45
73.40	-19.48
73.45	-19.51
73.50	-19.54
73.55	-19.57
73.60	-19.60
73.65	-19.63
73.70	-19.66
73.75	-19.68
73.80	-19.71
73.85	-19.73
73.90	-19.75
73.95	-19.77
74.00	-19.80
74.05	-19.82
74.10	-19.83
74.15	-19.85
74.20	-19.87
74.25	-19.88
74.30	-19.90
74.35	-19.91
74.40	-19.93
74.45	-19.94
74.50	-19.95
74.55	-19.96
74.60	-19.97
74.65	-19.97
74.70	-19.98
74.75	-19.99
74.80	-19.99
74.85	-20.00
74.90	-20.00
74.95	-20.00
75.00	-20.00
75.05	-20.00
75.10	-20.00
75.15	-20.00
75.20	-19.99
75.25	-19.99
75.30	-19.98
75.35	-19.97
75.40	-19.97
75.45	-19.96
75.50	-19.95
75.55	-19.94
75.60	-19.93
75.65	-19.91
75.70	-19.90
75.75	-19.88
75.80	-19.87
75.85	-19.85
75.90	-19.83
75.95	-19.82
76.00	-19.80
76.05	-19.78
76.10	-19.75
76.15	-19.73
76.20	-19.71
76.25	-19.68
76.30	-19.66
76.35	-19.63
76.40	-19.60
76.45	-19.57
76.50	-19.54
76.55	-19.51
76.60	-19.48
76.65	-19.45
76.70	-19.42
76.75	-19.38
76.80	-19.35
76.85	-19.31
76.90	-19.27
76.95	-19.24
77.00	-19.20
77.05	-19.16
77.10	-19.12
77.15	-19.07
77.20	-19.03
77.25	-18.99
77.30	-18.95
77.35	-18.90
77.40	-18.85
77.45	-18.81
77.50	-18.76
77.55	-18.71
77.60	-18.66
